english,japanese,POS,phrase,unit,part,page,status,level,grade,textbook
hello,こんにちは,挨拶 ,,Unit 1,Hello!,,es_word,ES,3,Let's Try 3
hi,こんにちは,挨拶 ,,Unit 1,Hello!,,es_word,ES,3,Let's Try 3
goodbye,さようなら,挨拶 ,,Unit 1,Hello!,,es_word,ES,3,Let's Try 3
see you,またね,挨拶 ,,Unit 1,Hello!,,es_word,ES,3,Let's Try 3
friends,友達,-,,Unit 1,Hello!,,es_word,ES,3,Let's Try 3
I,私,-,,Unit 1,Hello!,,es_word,ES,3,Let's Try 3
am,です,-,,Unit 1,Hello!,,es_word,ES,3,Let's Try 3
how,どう,-,,Unit 1,Hello!,,es_word,ES,3,Let's Try 3
are,です,-,,Unit 1,Hello!,,es_word,ES,3,Let's Try 3
fine,元気,気持ち,,Unit 1,Hello!,,es_word,ES,3,Let's Try 3
happy,幸せ,気持ち,,Unit 1,Hello!,,es_word,ES,3,Let's Try 3
good,良い,気持ち,,Unit 1,Hello!,,es_word,ES,3,Let's Try 3
sleepy,眠い,気持ち,,Unit 1,Hello!,,es_word,ES,3,Let's Try 3
hungry,お腹が空いた,気持ち,,Unit 1,Hello!,,es_word,ES,3,Let's Try 3
tired,疲れた,気持ち,,Unit 1,Hello!,,es_word,ES,3,Let's Try 3
sad,悲しい,気持ち,,Unit 1,Hello!,,es_word,ES,3,Let's Try 3
great,素晴らしい,気持ち,,Unit 1,Hello!,,es_word,ES,3,Let's Try 3
how,どう,-,,Unit 2,How are you?,,es_word,ES,3,Let's Try 3
are,です,-,,Unit 2,How are you?,,es_word,ES,3,Let's Try 3
fine,元気,気持ち,,Unit 2,How are you?,,es_word,ES,3,Let's Try 3
happy,幸せ,気持ち,,Unit 2,How are you?,,es_word,ES,3,Let's Try 3
good,良い,気持ち,,Unit 2,How are you?,,es_word,ES,3,Let's Try 3
sleepy,眠い,気持ち,,Unit 2,How are you?,,es_word,ES,3,Let's Try 3
hungry,お腹が空いた,気持ち,,Unit 2,How are you?,,es_word,ES,3,Let's Try 3
tired,疲れた,気持ち,,Unit 2,How are you?,,es_word,ES,3,Let's Try 3
sad,悲しい,気持ち,,Unit 2,How are you?,,es_word,ES,3,Let's Try 3
great,素晴らしい,気持ち,,Unit 2,How are you?,,es_word,ES,3,Let's Try 3
how,どう,-,,Unit 3,How many?,,es_word,ES,3,Let's Try 3
many,多い,-,,Unit 3,How many?,,es_word,ES,3,Let's Try 3
one,一,数 ,,Unit 3,How many?,,es_word,ES,3,Let's Try 3
two,二,数 ,,Unit 3,How many?,,es_word,ES,3,Let's Try 3
three,三,数 ,,Unit 3,How many?,,es_word,ES,3,Let's Try 3
four,四,数 ,,Unit 3,How many?,,es_word,ES,3,Let's Try 3
five,五,数 ,,Unit 3,How many?,,es_word,ES,3,Let's Try 3
six,六,数 ,,Unit 3,How many?,,es_word,ES,3,Let's Try 3
seven,七,数 ,,Unit 3,How many?,,es_word,ES,3,Let's Try 3
eight,八,数 ,,Unit 3,How many?,,es_word,ES,3,Let's Try 3
nine,九,数 ,,Unit 3,How many?,,es_word,ES,3,Let's Try 3
ten,十,数 ,,Unit 3,How many?,,es_word,ES,3,Let's Try 3
eleven,十一,数 ,,Unit 3,How many?,,es_word,ES,3,Let's Try 3
twelve,十二,数 ,,Unit 3,How many?,,es_word,ES,3,Let's Try 3
thirteen,十三,数 ,,Unit 3,How many?,,es_word,ES,3,Let's Try 3
fourteen,十四,数 ,,Unit 3,How many?,,es_word,ES,3,Let's Try 3
fifteen,十五,数 ,,Unit 3,How many?,,es_word,ES,3,Let's Try 3
sixteen,十六,数 ,,Unit 3,How many?,,es_word,ES,3,Let's Try 3
seventeen,十七,数 ,,Unit 3,How many?,,es_word,ES,3,Let's Try 3
eighteen,十八,数 ,,Unit 3,How many?,,es_word,ES,3,Let's Try 3
nineteen,十九,数 ,,Unit 3,How many?,,es_word,ES,3,Let's Try 3
twenty,二十,数 ,,Unit 3,How many?,,es_word,ES,3,Let's Try 3
marble,大理石,身の回りの物,,Unit 3,How many?,,es_word,ES,3,Let's Try 3
ball,ボール,身の回りの物,,Unit 3,How many?,,es_word,ES,3,Let's Try 3
pencil,鉛筆,身の回りの物,,Unit 3,How many?,,es_word,ES,3,Let's Try 3
eraser,消しゴム,身の回りの物,,Unit 3,How many?,,es_word,ES,3,Let's Try 3
ruler,定規,身の回りの物,,Unit 3,How many?,,es_word,ES,3,Let's Try 3
crayon,クレヨン,身の回りの物,,Unit 3,How many?,,es_word,ES,3,Let's Try 3
apple,りんご,"果物,野菜",,Unit 3,How many?,,es_word,ES,3,Let's Try 3
strawberry,いちご,"果物,野菜",,Unit 3,How many?,,es_word,ES,3,Let's Try 3
tomato,トマト,"果物,野菜",,Unit 3,How many?,,es_word,ES,3,Let's Try 3
many,多い,"果物,野菜",,Unit 3,How many?,,es_word,ES,3,Let's Try 3
apples,りんご（複数）,"果物,野菜",,Unit 3,How many?,,es_word,ES,3,Let's Try 3
apples,りんご（複数）,"果物,野菜",,Unit 3,How many?,,es_word,ES,3,Let's Try 3
circle,円,形,,Unit 3,How many?,,es_word,ES,3,Let's Try 3
triangle,三角形,形,,Unit 3,How many?,,es_word,ES,3,Let's Try 3
cross,十字,形,,Unit 3,How many?,,es_word,ES,3,Let's Try 3
yes,はい,-,,Unit 3,How many?,,es_word,ES,3,Let's Try 3
that,それ,-,,Unit 3,How many?,,es_word,ES,3,Let's Try 3
is,です,-,,Unit 3,How many?,,es_word,ES,3,Let's Try 3
right,正しい,-,,Unit 3,How many?,,es_word,ES,3,Let's Try 3
no,いいえ,-,,Unit 3,How many?,,es_word,ES,3,Let's Try 3
sorry,ごめんなさい,-,,Unit 3,How many?,,es_word,ES,3,Let's Try 3
that,それ,-,,Unit 3,How many?,,es_word,ES,3,Let's Try 3
is,です,-,,Unit 3,How many?,,es_word,ES,3,Let's Try 3
right,正しい,-,,Unit 3,How many?,,es_word,ES,3,Let's Try 3
I,私,-,,Unit 4,I like blue.,,es_word,ES,3,Let's Try 3
like,好き,-,,Unit 4,I like blue.,,es_word,ES,3,Let's Try 3
blue,青い,色,,Unit 4,I like blue.,,es_word,ES,3,Let's Try 3
what,何,-,,Unit 4,I like blue.,,es_word,ES,3,Let's Try 3
do,する,-,,Unit 4,I like blue.,,es_word,ES,3,Let's Try 3
don’t,しない,-,,Unit 4,I like blue.,,es_word,ES,3,Let's Try 3
red,赤い,色,,Unit 4,I like blue.,,es_word,ES,3,Let's Try 3
green,緑の,色,,Unit 4,I like blue.,,es_word,ES,3,Let's Try 3
yellow,黄色い,色,,Unit 4,I like blue.,,es_word,ES,3,Let's Try 3
pink,ピンクの,色,,Unit 4,I like blue.,,es_word,ES,3,Let's Try 3
black,黒い,色,,Unit 4,I like blue.,,es_word,ES,3,Let's Try 3
white,白い,色,,Unit 4,I like blue.,,es_word,ES,3,Let's Try 3
orange,オレンジ,色,,Unit 4,I like blue.,,es_word,ES,3,Let's Try 3
purple,紫の,色,,Unit 4,I like blue.,,es_word,ES,3,Let's Try 3
soccer,サッカー,スポーツ,,Unit 4,I like blue.,,es_word,ES,3,Let's Try 3
baseball,野球,スポーツ,,Unit 4,I like blue.,,es_word,ES,3,Let's Try 3
basketball,バスケットボール,スポーツ,,Unit 4,I like blue.,,es_word,ES,3,Let's Try 3
dodgeball,ドッジボール,スポーツ,,Unit 4,I like blue.,,es_word,ES,3,Let's Try 3
swimming,水泳,スポーツ,,Unit 4,I like blue.,,es_word,ES,3,Let's Try 3
ice cream,アイスクリーム,飲食物,,Unit 4,I like blue.,,es_word,ES,3,Let's Try 3
pudding,プリン,飲食物,,Unit 4,I like blue.,,es_word,ES,3,Let's Try 3
milk,ミルク,飲食物,,Unit 4,I like blue.,,es_word,ES,3,Let's Try 3
orange juice,オレンジジュース,飲食物,,Unit 4,I like blue.,,es_word,ES,3,Let's Try 3
onion,玉ねぎ,"果物,野菜",,Unit 4,I like blue.,,es_word,ES,3,Let's Try 3
green pepper,ピーマン,"果物,野菜",,Unit 4,I like blue.,,es_word,ES,3,Let's Try 3
cucumber,キュウリ,"果物,野菜",,Unit 4,I like blue.,,es_word,ES,3,Let's Try 3
carrot,人参,"果物,野菜",,Unit 4,I like blue.,,es_word,ES,3,Let's Try 3
rainbow,虹,-,,Unit 4,I like blue.,,es_word,ES,3,Let's Try 3
What,何,-,,Unit 5,What do you like?,,es_word,ES,3,Let's Try 3
do,する,-,,Unit 5,What do you like?,,es_word,ES,3,Let's Try 3
you,あなた,-,,Unit 5,What do you like?,,es_word,ES,3,Let's Try 3
like,好き,-,,Unit 5,What do you like?,,es_word,ES,3,Let's Try 3
sport,スポーツ,スポーツ,,Unit 5,What do you like?,,es_word,ES,3,Let's Try 3
volleyball,バレーボール,スポーツ,,Unit 5,What do you like?,,es_word,ES,3,Let's Try 3
table tennis,卓球,スポーツ,,Unit 5,What do you like?,,es_word,ES,3,Let's Try 3
food,食べ物,飲食物,,Unit 5,What do you like?,,es_word,ES,3,Let's Try 3
hamburger,ハンバーガー,飲食物,,Unit 5,What do you like?,,es_word,ES,3,Let's Try 3
pizza,ピザ,飲食物,,Unit 5,What do you like?,,es_word,ES,3,Let's Try 3
spaghetti,スパゲッティ,飲食物,,Unit 5,What do you like?,,es_word,ES,3,Let's Try 3
steak,ステーキ,飲食物,,Unit 5,What do you like?,,es_word,ES,3,Let's Try 3
salad,サラダ,飲食物,,Unit 5,What do you like?,,es_word,ES,3,Let's Try 3
cake,ケーキ,飲食物,,Unit 5,What do you like?,,es_word,ES,3,Let's Try 3
noodle,麺,飲食物,,Unit 5,What do you like?,,es_word,ES,3,Let's Try 3
egg,卵,飲食物,,Unit 5,What do you like?,,es_word,ES,3,Let's Try 3
rice ball,おにぎり,飲食物,,Unit 5,What do you like?,,es_word,ES,3,Let's Try 3
jam,ジャム,飲食物,,Unit 5,What do you like?,,es_word,ES,3,Let's Try 3
