english,japanese,POS,phrase,unit,part,page,status,level,grade,textbook
apple,リンゴ,名,apple,Starter 1,,8,es_word,JHS,1,New Crown English Series 1
April,4月,名,April,Starter 1,,8,es_word,JHS,1,New Crown English Series 1
boy,男の子,名,boy,Starter 1,,8,es_word,JHS,1,New Crown English Series 1
cow,牛,名,cow,Starter 1,,8,es_word,JHS,1,New Crown English Series 1
ceremony,式，式典,名,ceremony,Starter 1,,8,es_word,JHS,1,New Crown English Series 1
horse,ウマ,名,horse,Starter 1,,8,es_word,JHS,1,New Crown English Series 1
ink,インク,名,ink,Starter 1,,8,es_word,JHS,1,New Crown English Series 1
ice,氷，アイス,名,ice,Starter 1,,8,es_word,JHS,1,New Crown English Series 1
jet,ジェット機,名,jet,Starter 1,,8,es_word,JHS,1,New Crown English Series 1
king,王,名,king,Starter 1,,8,es_word,JHS,1,New Crown English Series 1
octopus,タコ,名,octopus,Starter 1,,8,,JHS,1,New Crown English Series 1
old,古い,形,old,Starter 1,,8,es_word,JHS,1,New Crown English Series 1
park,公園,名,park,Starter 1,,8,es_word,JHS,1,New Crown English Series 1
queen,女王,名,queen,Starter 1,,8,es_word,JHS,1,New Crown English Series 1
vacation,休暇,名,vacation,Starter 1,,8,es_word,JHS,1,New Crown English Series 1
weather,天気,名,weather,Starter 1,,8,es_word,JHS,1,New Crown English Series 1
box,箱,名,box,Starter 1,,8,es_word,JHS,1,New Crown English Series 1
yacht,ヨット,名,yacht,Starter 1,,8,es_word,JHS,1,New Crown English Series 1
dog,イヌ,名,dog,Starter 1,,9,es_word,JHS,1,New Crown English Series 1
egg,卵,名,egg,Starter 1,,9,es_word,JHS,1,New Crown English Series 1
evening,夕方，晩,名,evening,Starter 1,,9,,JHS,1,New Crown English Series 1
flower,花,名,flower,Starter 1,,9,es_word,JHS,1,New Crown English Series 1
good,よい，じょうずな,形,good,Starter 1,,9,es_word,JHS,1,New Crown English Series 1
gym,体育館,名,gym,Starter 1,,9,es_word,JHS,1,New Crown English Series 1
lunch,昼食,名,lunch,Starter 1,,9,es_word,JHS,1,New Crown English Series 1
math,数学,名,math,Starter 1,,9,es_word,JHS,1,New Crown English Series 1
nurse,看護師,名,nurse,Starter 1,,9,es_word,JHS,1,New Crown English Series 1
rainbow,虹,名,rainbow,Starter 1,,9,es_word,JHS,1,New Crown English Series 1
square,正方形,名,square,Starter 1,,9,es_word,JHS,1,New Crown English Series 1
tiger,トラ,名,tiger,Starter 1,,9,es_word,JHS,1,New Crown English Series 1
umbrella,かさ,名,umbrella,Starter 1,,9,es_word,JHS,1,New Crown English Series 1
unicycle,一輪車,名,unicycle,Starter 1,,9,es_word,JHS,1,New Crown English Series 1
zebra,シマウマ,名,zebra,Starter 1,,9,,JHS,1,New Crown English Series 1
month,月,名,Months,Starter 2,,10,es_word,JHS,1,New Crown English Series 1
January,1月,名,January,Starter 2,,10,es_word,JHS,1,New Crown English Series 1
February,2月,名,February,Starter 2,,10,es_word,JHS,1,New Crown English Series 1
March,3月,名,March,Starter 2,,10,es_word,JHS,1,New Crown English Series 1
May,5月,名,May,Starter 2,,10,es_word,JHS,1,New Crown English Series 1
June,6月,名,June,Starter 2,,10,es_word,JHS,1,New Crown English Series 1
July,7月,名,July,Starter 2,,10,es_word,JHS,1,New Crown English Series 1
August,8月,名,August,Starter 2,,10,es_word,JHS,1,New Crown English Series 1
September,9月,名,September,Starter 2,,10,es_word,JHS,1,New Crown English Series 1
October,10月,名,October,Starter 2,,10,es_word,JHS,1,New Crown English Series 1
November,11月,名,November,Starter 2,,10,es_word,JHS,1,New Crown English Series 1
