english,japanese,POS,phrase,unit,part,page,status,level,grade,textbook
a,➀ある，1つ［人・匹など］の,冠,,SL,,25,"es_word,important",JHS,1,Here We Go English Course 1
a,②～につき，～ごとに,冠,,Unit6-2,,79,"es_word,important",JHS,1,Here We Go English Course 1
about,～について(の)，～に関して,前,,Unit1-2,,33,important,JHS,1,Here We Go English Course 1
about,約，およそ，～ぐらい,副,,Unit5-3,,79,important,JHS,1,Here We Go English Course 1
abroad,外国に［へ・で］，海外に［へ・で］,副,,Let's Talk!,,とじ込み6,important,JHS,1,Here We Go English Course 1
active,活発な，元気な,形,,Unit6-1,,86,"es_word,important",JHS,1,Here We Go English Course 1
activity,活動，運動,名,,Unit2-0,,38,"es_word,important",JHS,1,Here We Go English Course 1
actor,,名,,Unit4-2,,67,"es_word,important",JHS,1,Here We Go English Course 1
after,➀〔順序〕～の次に，～の後に［で］,前,,Unit2-3,,44,important,JHS,1,Here We Go English Course 1
after,②〔時間〕～の後に［で］,前,,Unit4-3,,68,important,JHS,1,Here We Go English Course 1
after,放課後,連,after school,Unit5-Goal,,81,,JHS,,Here We Go English Course 1
after,～した後に［で・の］,接,,LR1,,42,important,JHS,1,Here We Go English Course 1
afternoon,午後,名,,Unit5-3,,79,"es_word,important",JHS,1,Here We Go English Course 1
afternoon,午後に,連,in the afternoon,Unit1-Goal,,16,,JHS,1,Here We Go English Course 1
age,年齢,名,,DL4,,117,important,JHS,1,Here We Go English Course 1
album,アルバム,名,,Unit8-1,,120,important,JHS,1,Here We Go English Course 1
all,まったく，すっかり,副,,YCDI1,,60,"es_word,important",JHS,1,Here We Go English Course 1
all,世界中の［で］,連,all over the world,YCDI1,,60,,JHS,1,Here We Go English Course 1
all,〔否定文で〕全然，少しも,連,not ～ at all,Unit2-1,,22,,JHS,1,Here We Go English Course 1
all,➀〔主語・目的語の同格に用いて〕全て，みんな,代,,Unit8-2,,124,"es_word,important",JHS,1,Here We Go English Course 1
all,②〔関係詞節を伴って〕唯一のもの［こと］,代,,Unit8-Goal,,109,"es_word,important",JHS,1,Here We Go English Course 1
all,全ての，あらゆる,形,,LR1,,44,"es_word,important",JHS,1,Here We Go English Course 1
all,1年中,連,all year round,Unit8-1,,105,,JHS,1,Here We Go English Course 1
all right,よろしい,間,,Unit6-2,,88,important,JHS,1,Here We Go English Course 1
all right,(状態などが)正常な，通常の,形,,AW,,145,important,JHS,1,Here We Go English Course 1
almost,ほとんど，ほぼ，もう少しで,副,,Unit6-2,,88,important,JHS,1,Here We Go English Course 1
also,～もまた，さらに,副,,Unit3-1,,50,important,JHS,1,Here We Go English Course 1
also,～ばかりでなく…も，～どころか…,連,not only ～ but also ...,WT2,,91,,JHS,1,Here We Go English Course 1
always,いつも，常に,副,,Unit2-2,,43,"es_word,important",JHS,1,Here We Go English Course 1
am,～である，～になる，(～に)ある，(～に)いる,動,,Unit1-1,,30,"es_word,important",JHS,1,Here We Go English Course 1
amazing,すばらしい，見事な,形,,Unit7-4,,113,,JHS,1,Here We Go English Course 1
amusement park,遊園地,名,,AW,,149,es_word,JHS,1,Here We Go English Course 1
an,〔母音で始まる語の前で〕ある，1つ［人・匹など］の,冠,,Unit2-1,,41,"es_word,important",JHS,1,Here We Go English Course 1
and,➀～と…，および,接,,Unit1-3,,34,"es_word,important",JHS,1,Here We Go English Course 1
and,②そして,接,,Unit8-1,,120,"es_word,important",JHS,1,Here We Go English Course 1
and,あなたはどうですか。,表,And you?,Unit8-1,,120,,JHS,1,Here We Go English Course 1
angry,怒った，腹を立てた,形,,AW,,145,important,JHS,1,Here We Go English Course 1
animal,動物,名,,YCDI1,,61,"es_word,important",JHS,1,Here We Go English Course 1
ant,アリ,名,,AW,,150,es_word,JHS,1,Here We Go English Course 1
any,➀〔疑問文・否定文で〕いくつかの，いくらかの，何か,形,,Unit7-2,,108,important,JHS,1,Here We Go English Course 1
any,②どれでも，どんな,形,,Unit8-1,,108,important,JHS,1,Here We Go English Course 1
anything,〔疑問文で〕何か，どれでも,代,,Unit3-Goal,,56,important,JHS,1,Here We Go English Course 1
anything,ほかに何かありますか。,表,Anything else?,Unit3-Goal,,56,,JHS,1,Here We Go English Course 1
apple,リンゴ,名,,LBF7,,18,"es_word,important",JHS,1,Here We Go English Course 1
April,4月,名,,LBF5,,15,"es_word,important",JHS,1,Here We Go English Course 1
aquarium,水族館,名,,Unit3-3,,55,es_word,JHS,1,Here We Go English Course 1
are,～である，～になる，(～に)ある，(～に)いる,動,,LBF1,,6,"es_word,important",JHS,1,Here We Go English Course 1
aren’t,are notの短縮形,縮,,AG1,,58,,JHS,1,Here We Go English Course 1
Argentina,アルゼンチン,名,,WT1,,57,,JHS,1,Here We Go English Course 1
around,➀向きを変えて，ぐるりと,副,,LR1,,99,important,JHS,1,Here We Go English Course 1
around,～の向きをぐるりと変える,連,turn ～ around,LR1,,99,,JHS,1,Here We Go English Course 1
around,②あちこちに［を］,副,,Unit4-Goal,,58,important,JHS,1,Here We Go English Course 1
around,➀～の周りに［を］,前,,AW,,146,important,JHS,1,Here We Go English Course 1
around,②～のあちこちに［を］,前,,WT2,,91,important,JHS,1,Here We Go English Course 1
around,③～の辺りで，～の近くで［の］,前,,Unit7-Goal,,102,important,JHS,1,Here We Go English Course 1
around,④～の周りを回って,前,,AW,,142,important,JHS,1,Here We Go English Course 1
art,美術，芸術,名,,Unit2-0,,39,"es_word,important",JHS,1,Here We Go English Course 1
artist,芸術家,名,,Unit2-Goal,,46,es_word,JHS,1,Here We Go English Course 1
as,～として,前,,AW,,150,important,JHS,1,Here We Go English Course 1
as,同じくらいに,副,,Unit7-3,,100,important,JHS,1,Here We Go English Course 1
as,…と同じほど～,連,as ～ as ...,Unit7-3,,100,,JHS,1,Here We Go English Course 1
as,…だけでなく～も,連,～ as well as ...,Unit5-3,,70,,JHS,1,Here We Go English Course 1
as,～するように,接,,LR3,,121,important,JHS,1,Here We Go English Course 1
as,まるで～であるかのように,連,as if ～,LR3,,99,,JHS,1,Here We Go English Course 1
ask,(人)にたずねる，質問する,動,,Unit4-2,,66,important,JHS,1,Here We Go English Course 1
ask, ～に…を頼む,連,ask ～ for ...,Unit1-3,,14,,JHS,1,Here We Go English Course 1
ask,～に…するよう頼む,連,ask ～ to ...,Unit8-3,,113,,JHS,1,Here We Go English Course 1
astronaut,宇宙飛行士,名,,Unit4-2,,67,"es_word,important",JHS,1,Here We Go English Course 1
astronomy,天文学,名,,AW,,147,,JHS,1,Here We Go English Course 1
at,➀〔地点・場所〕～に［で］,前,,Unit3-2,,52,"es_word,important",JHS,1,Here We Go English Course 1
at,家に［で］,連,at home,YCDI1,,61,,JHS,1,Here We Go English Course 1
at,②〔優劣などを表す言葉とともに〕～の点で，～において，～に関して,前,,YCDI1,,61,"es_word,important",JHS,1,Here We Go English Course 1
at,～が上手だ，うまい,連,be good at ～,YCDI1,,61,,JHS,1,Here We Go English Course 1
at,③〔時の1点を示して〕～に,前,,Unit5-3,,79,"es_word,important",JHS,1,Here We Go English Course 1
at,最初は，始めは,連,at first,LR2,,87,,JHS,1,Here We Go English Course 1
at,ついに，ようやく，やっと,連,at last,LR1,,43,,JHS,1,Here We Go English Course 1
at,④〔方向・目標〕～に向かって,前,,LR1,,99,"es_word,important",JHS,1,Here We Go English Course 1
at,～を見る,連,look at ～,LR1,,99,,JHS,1,Here We Go English Course 1
at,⑤～(の状態)で,前,,LR2,,88,"es_word,important",JHS,1,Here We Go English Course 1
at,最高の状態で,連,at one’s best,LR2,,88,,JHS,1,Here We Go English Course 1
ate,eatの過去形,動,,Unit7-0,,105,"es_word,important",JHS,1,Here We Go English Course 1
athlete,運動好きな人，スポーツマン，運動選手,名,,Unit2-1,,41,"es_word,important",JHS,1,Here We Go English Course 1
atmosphere,雰囲気,名,,Unit7-4,,112,,JHS,1,Here We Go English Course 1
August,8月,名,,LBF5,,15,"es_word,important",JHS,1,Here We Go English Course 1
aunt,叔母，伯母,名,,Unit6-0,,85,important,JHS,1,Here We Go English Course 1
Australia,オーストラリア,名,,LBF3,,10,es_word,JHS,1,Here We Go English Course 1
away,あちらへ，向こうへ,副,,LR2,,131,important,JHS,1,Here We Go English Course 1
away,逃げる,連,get away,LR2,,131,,JHS,1,Here We Go English Course 1
away,～を片付ける,連,put away ～,AW,,146,,JHS,1,Here We Go English Course 1
away,すぐに，ただちに,連,right away,LR1,,43,,JHS,1,Here We Go English Course 1
back,背中,名,,LR2,,130,important,JHS,1,Here We Go English Course 1
back,〔元の場所・状態に〕戻って，帰って,副,,DL3,,50,important,JHS,1,Here We Go English Course 1
back,すぐ戻って来ます。,表,I’ll be right back.,DL3,,50,,JHS,1,Here We Go English Course 1
back,帰る，戻る,表,come back,Unit4-3,,56,,JHS,1,Here We Go English Course 1
bacon,ベーコン,名,,DL3,,95,,JHS,1,Here We Go English Course 1
