english,japanese,POS,phrase,unit,part,page,status,level,grade,textbook
brush,~を磨く,動作,,動作,,,es_word,ES,5,One World Smiles 5
buy,~を買う,動作,,動作,,,es_word,ES,5,One World Smiles 5
catch,~を捕まえる,動作,,動作,,,es_word,ES,5,One World Smiles 5
change,~をかえる,動作,,動作,,,es_word,ES,5,One World Smiles 5
check,~を調べる,動作,,動作,,,es_word,ES,5,One World Smiles 5
clean,~を掃除する,動作,,動作,,,es_word,ES,5,One World Smiles 5
close,~を閉じる,動作,,動作,,,es_word,ES,5,One World Smiles 5
come,来る,動作,,動作,,,es_word,ES,5,One World Smiles 5
cook,（~を) 料理する,動作,,動作,,,es_word,ES,5,One World Smiles 5
dance,（~を) 踊る,動作,,動作,,,es_word,ES,5,One World Smiles 5
do,~をする,動作,,動作,,,es_word,ES,5,One World Smiles 5
draw,（~を) 描く,動作,,動作,,,es_word,ES,5,One World Smiles 5
drink,~を飲む,動作,,動作,,,es_word,ES,5,One World Smiles 5
eat,~を食べる,動作,,動作,,,es_word,ES,5,One World Smiles 5
enjoy,~を楽しむ,動作,,動作,,,es_word,ES,5,One World Smiles 5
excuse, (Excuse me.で〕すみません。,動作,,動作,,,es_word,ES,5,One World Smiles 5
get,"~を得る, ~になる",動作,,動作,,,es_word,ES,5,One World Smiles 5
go,行く,動作,,動作,,,es_word,ES,5,One World Smiles 5
guess,~を推測する,動作,,動作,,,es_word,ES,5,One World Smiles 5
have,~を持っている,動作,,動作,,,es_word,ES,5,One World Smiles 5
help,~を手伝う,動作,,動作,,,es_word,ES,5,One World Smiles 5
join,~に参加する,動作,,動作,,,es_word,ES,5,One World Smiles 5
jump,跳ぶ,動作,,動作,,,es_word,ES,5,One World Smiles 5
like,~を好む,動作,,動作,,,es_word,ES,5,One World Smiles 5
listen,聞く,動作,,動作,,,es_word,ES,5,One World Smiles 5
look,見る,動作,,動作,,,es_word,ES,5,One World Smiles 5
love,~が大好きである,動作,,動作,,,es_word,ES,5,One World Smiles 5
make,~をつくる,動作,,動作,,,es_word,ES,5,One World Smiles 5
meet,~に会う,動作,,動作,,,es_word,ES,5,One World Smiles 5
open,~を開ける,動作,,動作,,,es_word,ES,5,One World Smiles 5
play,"~をする, ~を弾く",動作,,動作,,,es_word,ES,5,One World Smiles 5
practice,練習する,動作,,動作,,,es_word,ES,5,One World Smiles 5
put,~を置く,動作,,動作,,,es_word,ES,5,One World Smiles 5
read,（~を) 読む,動作,,動作,,,es_word,ES,5,One World Smiles 5
ride,~に乗る,動作,,動作,,,es_word,ES,5,One World Smiles 5
run,走る,動作,,動作,,,es_word,ES,5,One World Smiles 5
see,"~を見る, ~に会う",動作,,動作,,,es_word,ES,5,One World Smiles 5
sing,（~を) 歌う,動作,,動作,,,es_word,ES,5,One World Smiles 5
sit,すわる,動作,,動作,,,es_word,ES,5,One World Smiles 5
skate,スケートをする,動作,,動作,,,es_word,ES,5,One World Smiles 5
ski,スキーをする,動作,,動作,,,es_word,ES,5,One World Smiles 5
smile,ほほえむ,動作,,動作,,,es_word,ES,5,One World Smiles 5
speak,（~を) 話す,動作,,動作,,,es_word,ES,5,One World Smiles 5
spell,~をつづる,動作,,動作,,,es_word,ES,5,One World Smiles 5
stand,立っている,動作,,動作,,,es_word,ES,5,One World Smiles 5
start,~を始める,動作,,動作,,,es_word,ES,5,One World Smiles 5
stop,~を止める,動作,,動作,,,es_word,ES,5,One World Smiles 5
study,（~を) 勉強する,動作,,動作,,,es_word,ES,5,One World Smiles 5
swim,泳ぐ,動作,,動作,,,es_word,ES,5,One World Smiles 5
take,"~をとる, （ふろに) 入る",動作,,動作,,,es_word,ES,5,One World Smiles 5
talk,話す,動作,,動作,,,es_word,ES,5,One World Smiles 5
teach,~を教える,動作,,動作,,,es_word,ES,5,One World Smiles 5
thank,~に感謝する,動作,,動作,,,es_word,ES,5,One World Smiles 5
touch,~にふれる,動作,,動作,,,es_word,ES,5,One World Smiles 5
try,（~を) 試す,動作,,動作,,,es_word,ES,5,One World Smiles 5
turn,曲がる,動作,,動作,,,es_word,ES,5,One World Smiles 5
use,~を使う,動作,,動作,,,es_word,ES,5,One World Smiles 5
visit,~を訪れる,動作,,動作,,,es_word,ES,5,One World Smiles 5
walk,"歩く, ~を散歩させる",動作,,動作,,,es_word,ES,5,One World Smiles 5
want,~がほしい,動作,,動作,,,es_word,ES,5,One World Smiles 5
wash,~を洗う,動作,,動作,,,es_word,ES,5,One World Smiles 5
watch,~を見る,動作,,動作,,,es_word,ES,5,One World Smiles 5
write,~を書く,動作,,動作,,,es_word,ES,5,One World Smiles 5
ate,eatの過去形,動作,,動作,,,es_word,ES,5,One World Smiles 5
did,doの過去形,動作,,動作,,,es_word,ES,5,One World Smiles 5
