english,japanese,POS,phrase,unit,part,page,status,level,grade,textbook
beefsteak,ビーフステーキ,名,,Program 0,Get Ready,10,,JHS,1,Sunshine English Course 1
Daniel,ダニエル（男子の名）,名,"Do you draw pictures, Daniel?",Program 0,Get Ready,10,,JHS,1,Sunshine English Course 1
Emily,エミリー（女子の名）,名,I'm Emily.,Program 0,Get Ready,10,,JHS,1,Sunshine English Course 1
Miller,ミラー（姓）,名,Ms. Miller looks happy. ,Program 0,Get Ready,10,,JHS,1,Sunshine English Course 1
Ms.,〜さん，〜先生（女性に対する敬称）,名,She is Ms. Green.,Program 0,Get Ready,10,,JHS,1,Sunshine English Course 1
omelet,オムレツ,名,My brother can make a delicious omelet.,Program 0,Get Ready,10,,JHS,1,Sunshine English Course 1
Colosseum,（theをつけて）コロッセオ（イタリアにある古代ローマの遺跡）,名,,Program 0,Get Ready,11,,JHS,1,Sunshine English Course 1
Great Wall,（theをつけて）万里の長城（中国にある城壁の世界遺産）,名,,Program 0,Get Ready,11,,JHS,1,Sunshine English Course 1
Rio Carnival,リオのカーニバル（ブラジルのリオデジャネイロの祭り）,名,,Program 0,Get Ready,11,,JHS,1,Sunshine English Course 1
Statue of Liberty,（theをつけて）自由の女神像（アメリカのニューヨークにある像）,名,,Program 0,Get Ready,11,,JHS,1,Sunshine English Course 1
listen,聞く,動,Thank you for listening.,Program 0,Get Ready,13,,JHS,1,Sunshine English Course 1
listen to ～,～を聞く，～に耳を傾ける,,I'm listening to music.,Program 0,Get Ready,13,,JHS,1,Sunshine English Course 1
brass band,吹奏楽部，ブラスバンド,名,Our brass band practices every day.,Program 0,Get Ready,14,,JHS,1,Sunshine English Course 1
city,市，都市，都会,名,"We use the city pool in spring,",Program 0,Get Ready,14,,JHS,1,Sunshine English Course 1
clarinet,クラリネット,名,"You can try the trumpet, the flute and the clarinet.",Program 0,Get Ready,14,,JHS,1,Sunshine English Course 1
dolphin,イルカ,名,You can be a dolphin.,Program 0,Get Ready,14,,JHS,1,Sunshine English Course 1
dribble,ドリブルをする,動,"You run, dribble and shoot the ball.",Program 0,Get Ready,14,,JHS,1,Sunshine English Course 1
